PaperID,Abstract
270,"Technology development is facing increased challenges as engineers begin to tackle the problem domains with greater uncertainty. Future engineered systems must be able to function in unpredictable environments such as deep ocean, rough terrain, and outer space while performing uncertain tasks like hazardous waste cleanup and search-and-rescue missions. Furthermore, the increasing size of engineered systems introduces unplanned interdependencies of components. Complex systems can provide the adaptability in order to manage uncertainties that traditional systems cannot. As the uncertainty of the problem domain increases, engineering design methods must be advanced in order to properly address the changing needs and constraints. This paper proposes a new approach inspired by natural phenomena in order to extend the design envelope towards an "
271,"Complexity metrics have been developed for multiple applications such as consumer products, software, trajectory selection and assembly systems. Although existing complexity metrics were developed to reduce product design and development costs, their lack of simplicity in formulation and robustness has limited their applicability. This paper proposes a standard methodology for comparing and evaluating these metrics and introduces dimensions of complexity that should be considered towards the goal of developing a generalizable product complexity measure. To this end, this paper introduces variables that integrate multiple facets of complexity into a single metric."
272,"Identifying customer needs and preferences is one of the most important tasks in design process. Typically, a variation of interview based approaches is used to conduct need and preference analysis. In this paper, a new approach based on text mining online (internet based) customer reviews to supplement traditional methods of need and preference analysis is considered. The key idea underlying the proposed approach is to partition online customer generated product reviews into segments that evaluate the individual attributes of a product (e.g zoom capability and support of different image formats in a camcorder). Additionally, the proposed method also identifies the importance (ranking) that customers place on each product attributes. The method is demonstrated on 100 customer reviews submitted for camcorders on epinions.com over a two year period."
273,"We define preference elicitation as an interaction, consisting of a sequence of computer queries and human implicit feedback (binary choices), from which the user’s most preferred design can be elicited. The difficulty of this problem is that, while a human-computer interaction must be short to be effective, query algorithms usually require lengthy interactions to perform well. We address this problem in two steps. A black-box optimization approach is introduced: The query algorithm retrieves and updates a user preference model during the interaction and creates the next query containing designs that are both likely to be preferred and different from existing ones. Next, a heuristic based on accumulated elicitations from previous users is employed to shorten the current elicitation by querying preferred designs from previous users (the “crowd”) who share similar preferences to the current one."
274,"Every time a customer selects a product from the shelf they make a purchase decision based on trade-offs between available offerings. The available products often exhibit feature excess at a price premium, feature deficiency at a price discount, or some combination of both. By purchasing one of these products a customer experiences some degree of sacrifice. This paper proposes the use of choice-based conjoint analysis and hierarchical Baysian modeling to calculate the perceived utility of a customer’s ideal product and the perceived utility of the best current alternative in the market. A customer’s sacrifice gap, a quantity that mass customization seeks to minimize, is defined as the difference between these values. This paper quantifies a market-average sacrifice gap and uses it in a theoretical product platform customization scenario. This scenario examines the effects of offering customization options on one attribute of a product at a time on a customer-centric objective (sacrifice gap) and a firm-centric objective (aggregate contribution). The results are also used to examine how customer sacrifice is minimized at an individual-level."
275,"The main purpose of this study is to use an R-test measurement device to estimate the geometric location error of the axis of rotation of five-axis machine tools. The error model of CNC machine tool describes the relationship between the individual error source and its effects on the overall position errors. This study based ISO230 to construct a geometric error model used to measure errors in the five-axis machine tools for the R-test measurement device. This model was then used to reduce the five-axis geometric error model based solely on the location error of the axis of rotation. Moreover, based on the simplified model and the overall position errors measured by the R-test with path K4, the location errors of rotary axes and ball position errors can be estimated very accurately with the least square estimation method. Finally, paths K1 and K2 were used as testing paths. The results of the test showed that the model built in this study is accurate and is effective in estimating errors."
276,"This paper concerns the role of geometric imperfections on assemblies in which the location of a target part is dependent on supports at two features. In some applications, such as a turbo-machine rotor that is supported by a series of parts at each bearing, it is the interference or clearance at a functional target feature, such as at the blades that must be controlled. The first part of the paper relates the limits of location for the target part to geometric imperfections of other parts when stacked-up in parallel paths. In other applications where parts are flexible, deformations are induced when parts in parallel are assembled together by clamping. Presuming that perfectly manufactured parts have been designed to fit perfectly together and produce zero deformations, the clamping-induced deformations result entirely from the imperfect geometry produced during manufacture. The magnitudes and types of these deformations are a function of part dimensions and material stiffnesses, and they are limited by design tolerances that control manufacturing variations. The last part of the paper relates the limits on stresses in parts to functional tolerance limits that must be set at the beginning of a tolerance analysis of parts in any assembly."
277,"Although Rapid prototyping, as a material-additive process, is able to create complex geometries that traditional material-removal processes cannot achieve, it still suffers from its limitation due to the layer manufacturing nature. In order to minimize staircase effects, selection of building orientation is an important step in implementing rapid prototyping processes. This paper presents a method to select the optimal direction that leads to minimized volumetric error in building a part from layer manufacturing processes. A unit sphere is discretized first to give potential directions in a 3-D space, and then each facet comprising an STL geometric model is mapped onto the discretized unit sphere as a great circle individually. Both an exhaustive search and a chain searching strategy are presented to identify the globally optimal direction for building a 3-D geometry. At the end of the paper, examples are presented to show the effectiveness of the method."
278,"A new methodology using mechanism to model fixture location error (FLE) is proposed. Typically, there are four elements related to accumulation and propagation of FLE in workpiece-fixture system (WFS), which are machining feature, process datum, location datum and locators, and the relative position variations among them correspond to various FLEs. In this research, the four elements are treated as link mechanism components, the concatenation between location datum and locators is represented by contact pair, which is transformed to kinematic pair in equivalent mechanism, and geometry & dimension tolerances are simulated by link mechanisms. The rules mapping from FLE elements to their equivalent mechanisms are established, and by which the WFS is transformed into an equivalent mechanism model system. The method is studied that the process parameters of WFS are calculated by the structure parameters and kinematic parameters of equivalent mechanism. Thus, the solution of location error can be realized by means of the position analysis methods of mechanism."
279,"For manufacturing companies it is important to develop and produce products that meet requirements from customers and investors. One key factor in meeting these requirements is the efficiency of the product development process. Design automation is a powerful tool to increase efficiency in that process resulting in shortened lead-time, improved product performance, and ultimately decreased cost. Further, automation is beneficial as it increases the ability to adapt products to new product specifications, which is critical to some categories of products."
280,"Using one single trimmed B-Spline surface to fill an n-sided hole is a much desired operation in CAD, but few papers have addressed this issue. The paper presents the method of using trimmed B-Spline surfaces to fill n-sided holes based on energy minimization or variational technique. The method is efficient and robust, and takes less than one second to fill n-sided holes with high quality B-Spline surfaces under complex constraints."
281,"Many natural systems that transport heat, energy or fluid from a distributed volume to a single flow channel exhibit an analogous appearance to trees (examples include bronchial tubes, watersheds, lightening, and blood vessels). Several authors have proceeded with analytical methods to develop fractal or pseudo-fractal designs analogous to these natural instances. This implicates an implicit belief in some designers that there is an optimal attribute to this ‘tree-like’ appearance. A novel explanation for the appearance of these systems is presented in this paper. Natural systems follow the path of least resistance; or in other words, minimize transport effort. Effort is required to overcome all forms of friction (an unavoidable consequence of motion). Therefore effort minimization is analogous to transport distance (path length) minimization. Effort due to friction will be integrated over the total transport distance. Leveraging this observation a simple, geometric explanation for the emergent ‘tree-like’ architecture of many natural systems is now achievable. Note that this ‘tree’ effect occurs when most of the flow volume exhibits diffusion, with a small percentage of interdigitated high flow velocity channels. One notable application of our novel method, "
283,"The paper presents the first optimal conjugation design methodology based on free-form conjugation modeling theory. The methodology is implemented for planar circular gearing and general for any planar gearing. According to the previous research of free-form conjugation, conjugate profiles are modeled by contact path geometries or cutter geometries which are represented by NURBS (non-uniform rational B-splines). The interchangeability between control points and interpolation points of NURBS are introduced in general to offer reasonable constraints of special interpolation conditions in conjugation design. To adapt to the flexibility brought by free-form techniques, the determination of an important conjugate property—contact ratio is carried out through geometric relationship. To make use of NURBS for optimal design, conjugate properties and their differentiations are represented by important parameters and then by control points and interpolation points of NURBS. The interested properties are relative curvature, specific sliding ratio and nominal Hertz contact stress, which are the main factors of gear efficiency and wear. The properties are well-known for their difficulties in optimization. The paper shows that with appropriate manipulations in mathematics and programming, it is feasible for gradient based optimization methods, which are accurate and fast in convergence. The methodology is consistent with the regular optimization of geometry design, and can be integrated into geometry design systems. The examples show the effectiveness of the proposed optimization framework."
284,"Traditionally, deterministic methods have been applied in digital human modeling (DHM). Transforming the deterministic approach of digital human modeling into a probabilistic approach is natural since there is inherent uncertainty and variability associated with DHM problems. Typically, deterministic studies in this field ignore this uncertainty or try to limit the uncertainty by employing optimization procedures. Due to the variability in the inputs, a deterministic study may not be enough to account for the uncertainty in the system. Probabilistic design techniques allow the designer to predict the likelihood of an outcome while also accounting for uncertainty, in contrast to deterministic studies. The purpose of this study is to incorporate probabilistic approaches to a deterministic DHM problem that has already been studied, analyzing human kinematics and dynamics. The problem is transformed into a probabilistic approach where the human kinematic and dynamic reliabilities are determined. The kinematic reliability refers to the probability that the human end-effector position (and/or orientation) falls within a specified distance from the desired position (and/or orientation) in an inverse kinematic problem. The dynamic reliability refers to the probability that the human end-effector position (and/or velocity) falls within a specified distance from the desired position (and/or velocity) along a specified trajectory in the workspace. The dynamic equations of motion for DHM are derived by the Lagrangian backward recursive dynamics formulation."
285,"Mass center of a human body is not a fixed point on the human body because the inertia distribution of the human body changes with body posture. Real-time estimation of the location of human mass center is often required for many biomechanical or biomedical applications. This is not an easy task if the inertia properties of the human’s body segments are unknown. This paper presents a technique for estimating the trajectory of the human mass center based on a recently developed inertia properties identification technology which was derived based on the impulse-momentum principle. The proposed technique assumes a human body as a general treelike multibody system, such that the mass center of the human is predictable with the knowledge of the barycentric parameters of the human. The latter can be identified using inertia identification method. This technique is advantageous because it requires only the 3D motion capture data as its primary input and does not need to know the inertia and geometric parameters of individual body segments of the human. The paper presents a dynamic simulation based study of the proposed estimation technique and also describes an ongoing experimental testing."
286,"The objective of this study is to predict the “Aiming While Standing” and “Aiming While Kneeling” motion tasks for a soldier (human) using a full-body, three dimensional digital human model. The digital human is modeled as a 55 degree of freedom branched mechanism. Six degrees of freedom specify the global position and orientation of the coordinate frame attached to the pelvis of the digital human and 49 degrees of freedom represent the revolute joints which model the human joints and determine the kinematics of the entire digital human. Motion is generated by a multi-objective optimization approach minimizing the mechanical energy and joint discomfort simultaneously. A sequential quadratic programming (SQP) algorithm in SNOPT is used to solve the nonlinear optimization problem. The optimization problem is subject to constraints which represent the limitations of the environment, the digital human model and the motion task. Design variables are the joint angle profiles. All the forces, inertial, gravitational as well as external, are known, except the ground reaction forces. The feasibility of the generation of that arbitrary motion by using the given ground contact areas is ensured by using the well known Zero Moment Point (ZMP) constraint. During the kneeling motion, different parts of the body come in contact and lose contact with the ground which is modeled using a general approach. The ground reaction force on each transient ground contact area is determined using the equations of motion. It is assumed that enough friction exists that allow the human to generate reaction forces as determined by the ZMP constraint. Using these ground reaction forces, the required torques at all joints are calculated by the recursive Lagrangian formulation. Using the given method, we can predict realistic motions for the “Aiming While Standing” and “Aiming While Kneeling” tasks. The optimization approach is able to very well predict the “Natural Point of Aim” which is a well known concept for soldiers. In other words, the approach is able to predict the most comfortable final orientation of the feet on the ground for engaging a specific target. We also predict cases where the orientation of the soldier’s feet are enforced. Many virtual experiments have been conducted by changing the target location in the 3D space, changing the anthropometry of the soldier, adding armor to different joints, changing the variable parameters of the rifle, adding backpack and using different weapons."
287,"Humans act as transducers that transform chemical energy from food, water, and air into mechanical work and the thermal energy of heat loss. Although this energy expenditure can be experimentally measured, methods of predicting energy expenditure have not been broadly studied. This work introduces a new formulation of metabolic energy consumption based on muscle physiology and the equations of motion for the human body. Kinematic and kinetic data from a gait experiment and an over-arm throwing simulation are used to illustrate and validate this new model. The results extend the capabilities of dynamic human modeling to include metabolic energy prediction in general tasks. This novel formulation is useful for the investigation of human performance with applications in physical therapy, rehabilitation, and sports."
288,"The objective of work presented in this paper is to increase the center-of-mass stability of human walking and running in musculo-skeletal simulation. The approach taken is to approximate the whole-body dynamics of the low-dimensional Spring-Loaded Inverted Pendulum (SLIP) model of locomotion in the OpenSim environment using existing OpenSim tools. To more directly relate low-dimensional dynamic models to human simulation, an existing OpenSim human model is first modified to more closely represent bilateral above-knee amputee locomotion with passive prostheses. To increase stability further beyond the energy-conserving SLIP model, an OpenSim model based upon the Clock-Torqued Spring-Loaded-Inverted-Pendulum (CT-SLIP) model of locomotion is also created. The result of this work is that a multi-body musculo-skeletal simulation in Open-Sim can approximate the whole-body sagittal-plane dynamics of the passive SLIP model. By adding a plugin controller to the OpenSim environment, the Clock-Torqued-SLIP dynamics can be approximated in OpenSim. To change between walking and running, only one parameter representing the preferred period of a stride is changed. The result is a robustly stable simulation of the center-of-mass locomotion for both walking and running that could serve as a first step toward increasingly anatomically accurate and robustly stable musculo-skeletal simulations."
289,"Affordance based design (ABD) theory has been presented in several papers and has interested several researchers in the field of design. One criticism of ABD is that the number of affordances identified can be very large, and therefore, the approach may not be amenable for automation. This paper presents a computer based implementation of a process to improve design using affordances."
290,"Metamodel-based design is a well-established method for providing fast and accurate approximations of expensive computer models to enable faster optimization and rapid design space exploration. Traditionally, a metamodel is developed by fitting a surface to a set of training points that are generated with an expensive computer model or simulation. A requirement of this process is that the function being approximated is continuous. However, many engineering problems have variables that are discrete and a function response that is discontinuous in nature. In this paper, a classifier-guided sampling method is presented that can be used for optimization and design space exploration of expensive computer models that have discrete variables and discontinuous responses. The method is tested on a set of example problems. Results show that the method significantly improves the rate of convergence towards known global optima, on average, when compared to random search."
291,"High Dimensional Model Representation (HDMR) is a tool for generating an approximation of an input-output model for a multivariate function. It can be used to model a black-box function for metamodel-based optimization. Recently the authors’ team has developed a radial basis function based HDMR (RBF-HDMR) model that can efficiently model a high dimensional black-box function and, moreover, to uncover inner variable structures of the black-box function. This approach, however, requests a complete new, although optimized, set of sample points, as dictated by the methodology, while in engineering design practice one often has many existing sample data. How to utilize the existing data to efficiently construct a HDMR model is the focus of this paper. We first identify the Random-Sampling HDMR (RS-HDMR), which uses orthonormal basis functions as HDMR component functions and existing sample points can be used to calculate the coefficients of the basis functions. One of the important issues related to the RS-HDMR is that in theory the basis functions are obtained based on the continuous integrations related to the orthonormality conditions. In practice, however, the integrations are approximated by Monte Carlo summation and thus the basis functions may not satisfy the orthonormality conditions. In this paper, we propose new and adaptive orthonormal basis functions with respect to a given set of sample points for RS-HDMR approximation. RS-HDMR models are built for different test functions using the standard and new adaptive basis functions for different number of sample points. The relative errors for both models are calculated and compared. The results show that the models that are built using the new basis functions are more accurate."
292,"Sequential sampling strategies have been developed for managing complexity when using computationally expensive computer simulations in engineering design. However, much of the literature has focused on objective-oriented sequential sampling methods for deterministic optimization. These methods cannot be directly applied to robust design which must account for uncontrollable variations in certain input variables (i.e., noise variables). Obtaining a robust design that is insensitive to variations in the noise variables is more challenging. Even though methods exist for sequential sampling in design under uncertainty, the majority of the existing literature does not systematically take into account the interpolation uncertainty that results from limitations on the number of simulation runs, the effect of which is inherently more severe than in deterministic design. In this paper, we develop a systematic objective-oriented sequential sampling approach to robust design with consideration of both noise variable uncertainty and interpolation uncertainty. The method uses Gaussian processes to model the costly simulator and quantify the interpolation uncertainty within a robust design objective. We examine several criteria, including our own proposed criteria, for sampling the design and noise variables and provide insight into their performance behaviors. We show that for both of the examples considered in this paper the proposed sequential algorithm is more efficient in finding the robust design solution than a one-shot space filling design."
293,"Layout optimization problems deal with the search for an optimal spatial arrangement of components inside a container. Global performances of many engineering products and systems sharply depend on layout design. Because of the great complexity of most real-world layout applications, recent studies focus on the development of efficient optimization algorithms used to solve layout problems. These algorithms, which have to take into consideration multi-constraint and multi-objective optimization problems, aim to be generic to adapt to lots of layout problems. However, the solving of these layout problems is time consuming and designers know if an optimal solution is available for their problem at the end of the optimization process. Designer cannot know a priori if the layout problem can be solved. Then, this paper proposes a new indicator to assess the feasibility of layout problems. This indicator is based on the layout description of the problem and the formulation of designer’s requirements. In particular, it takes into account the non-overlap constraints between layout components. It allows the designer to know if the layout problem can be solved before running the optimization algorithm. After defining the new indicator of feasibility, this paper tests it on a simple layout application."
294,"A primary concern in practical engineering design is ensuring high system reliability throughout a product life-cycle subject to time-variant operating conditions and component deteriorations. Thus, the capability to deal with time-dependent probabilistic constraints in reliability-based design optimization is of vital importance in practical engineering design applications. This paper presents a nested extreme response surface (NERS) approach to efficiently carry out time-dependent reliability analysis and determine the optimal designs. The NERS employs kriging model to build a nested response surface of time corresponding to the extreme value of the limit state function. The efficient global optimization technique is integrated with the NERS to extract the extreme time responses of the limit state function for any given system design. An adaptive response prediction and model maturation mechanism is developed based on mean square error (MSE) to concurrently improve the accuracy and computational efficiency of the proposed approach. With the nested response surface of time, the time-dependent reliability analysis can be converted into the time-independent reliability analysis and existing advanced reliability analysis and design methods can be used. The NERS is integrated with RBDO for the design of engineered systems with time-dependent probabilistic constraints. Two case studies are used to demonstrate the efficacy of the proposed NERS approach."
295,"The ever increasing demands towards improvement in vehicle performance and passenger comfort have led the automotive manufacturers to further enhance the design in the early stages of the vehicle development process. Though, these design changes enhance the overall vehicle performance to an extent, the placement of these components under the car hood also plays a vital role in increasing the vehicle performance. In the past, a study on the automobile underhood packaging or layout problem was conducted and a multi-objective optimization routine with three objectives namely, minimizing center of gravity height, maximizing vehicle components accessibility and maximizing survivability (for army vehicles) has been setup to determine the optimal locations of the underhood components. The previous study did not consider thermal performance as an objective. This study asserts the necessity of including thermal performance as an objective and makes an assessment of the several available thermal analyses that are performed on the automotive underhood to evaluate the thermal objective. A Neural Network approximation of the CFD analysis conducted over the automotive underhood is presented in this paper. The results obtained from the Neural Network are compared with the CFD results, showing good agreement. The Neural Network model is included in the multi-objective optimization routine and new layout results are obtained. A non-deterministic evolutionary multi-objective algorithm (AMGA-2) is used to perform the optimization process."
296,"Approximation Assisted Optimization (AAO) is widely used in engineering design problems to replace computationally intensive simulations with metamodeling. Traditional AAO approaches employ global metamodeling for exploring an entire design space. Recent research works in AAO report on using local metamodeling to focus on promising regions of the design space. However, very limited works have been reported that combine local and global metamodeling within AAO. In this paper, a new approximation assisted multiobjective optimization approach is developed. In the proposed approach, both global and local metamodels for objective and constraint functions are used. The approach starts with global metamodels for objective and constraint functions and using them it selects the most promising points from a large number of randomly generated points. These selected points are then “observed”, which means their actual objective/constraint function values are computed. Based on these values, the “best” points are grouped in multiple clustered regions in the design space and then local metamodels of objective/constraint functions are constructed in each region. All observed points are also used to iteratively update the metamodels. In this way, the predictive capabilities of the metamodels are progressively improved as the optimizer approaches the Pareto optimum frontier. An advantage of the proposed approach is that the most promising points are observed and that there is no need to verify the final solutions separately. Several numerical examples are used to compare the proposed approach with previous approaches in the literature. Additionally, the proposed approach is applied to a CFD-based engineering design example. It is found that the proposed approach is able to estimate Pareto optimum points reasonably well while significantly reducing the number of function evaluations."
297,"The concept of Pareto optimality is the default method for pruning a large set of candidate solutions in a multi-objective problem to a manageable, balanced, and rational set of solutions. While the Pareto optimality approach is simple and sound, it may select too many or too few solutions for the decision-maker’s needs or the needs of optimization process (e.g. the number of survivors selected in a population-based optimization). This inability to achieve a target number of solutions to keep has caused a number of researchers to devise methods to either remove some of the non-dominated solutions via Pareto filtering or to retain some dominated solutions via Pareto relaxation. Both filtering and relaxation methods tend to introduce many new adjustment parameters that a decision-maker (DM) must specify."
298,"It is important for engineers to understand the capabilities and limitations of the technologies they consider for use in their systems. Several researchers have investigated approaches for modeling the capabilities of a technology with the aim of supporting the design process. In these works, the information about the physical form is typically abstracted away. However, the efficient generation of an accurate model of technical capabilities remains a challenge. Pareto frontier based methods are often used but yield results that are of limited use for subsequent decision making and analysis. Models based on parameterized Pareto frontiers—termed Technology Characterization Models (TCMs)—are much more reusable and composable. However, there exists no efficient technique for modeling the parameterized Pareto frontier. The contribution of this paper is a new algorithm for modeling the parameterized Pareto frontier to be used as a model of the characteristics of a technology. The proposed algorithm uses fundamental concepts from multiobjective genetic optimization and machine learning to generate a model of the technology frontier."
299,"Multiple microchannel heat transfer systems have been developed for the urge of rapid and effective cooling of the electronic devices, which have become smaller and more powerful but also produced more heat. Two different types of single-phase liquid cooling, including the straight and U-shaped microchannel heat sinks, have been utilized to reduce the temperature of the electronic chips. The cooling performances however depend on the preferences of different factors such as the thermal resistances, the pressure drops, and the heat flows at the solid-fluid interfaces. Lower thermal resistance represents higher temperature reduction; lower pressure drop means lower usage of the pumping power; and higher heat flows indicates more effective cooling between the heat spreader and the liquid. In this paper, an optimization strategy based on the prioritized performances has been developed to find the optimal design variables for multiple objectives: minimal thermal resistances, minimal pressure drops and maximal heat flows. The fuzzy and correlated preferences are modeled by the Gaussian membership functions with respect to different levels of the objective function values. The overall performances are formulated based on the prioritized preferences and maximized on the Pareto-optimal solution set to find the solutions for various preference conditions. Two case studies have been discussed. The first case considered the prioritized preferences based on uni-objective function values while the second one focused on the preferences of the thermal resistances and the efficiency measures, correlatively evaluated by the flow rates, pressure drops, and heat flows."
300,"In a recent publication, we presented a new strategy for engineering design and optimization, which we termed formulation space exploration. The formulation space for an optimization problem is the union of all variable and design objective spaces identified by the designer as being valid and pragmatic problem formulations. By extending a computational search into this new space, the solution to any optimization problem is no longer predefined by the optimization problem formulation. This method allows a designer to both diverge the design space during conceptual design and converge onto a solution as more information about the design objectives and constraints becomes available. Additionally, we introduced a new way to formulate multiobjective optimization problems, allowing the designer to change and update design objectives, constraints, and variables in a simple, fluid manner that promotes exploration. In this paper, we investigate three use scenarios where formulation space exploration can be utilized in the early stages of design when it is possible to make the greatest contributions to development projects. Specifically, we look at s-Pareto frontier generation in the formulation space, formulation space boundary exploration, and a new way to perform inverse optimization. The benefits of these methods are illustrated with the conceptual design of an impact driver."
301,"The optimization of a statistical process control with a variable sampling interval is studied. A control performance index is the expected loss, caused by delay in detecting process change. It is to be minimized by a proper choice of a sampling interval. The mathematical model of this problem is a nonstandard variational calculus problem with two types of constraints, an isoperimetric constraint and two geometric constraints. The integrands in the cost functional and the isoperimetric constraint are independent of the derivative of the minimizing function. Therefore, the classical Euler-Lagrange equation approach is not applicable when analyzing this extremal problem. The optimization problem depends on the signal-to-noise ratio parameter. The original problem is transformed to an equivalent optimal control problem. Based on the value of the parameter, the latter is decomposed into two simpler problems, solved by application of Pontryagin’s Maximum Principle. The theoretical results are evaluated by numerical simulations."
302,"The complexity of managing multidisciplinary engineering systems offers an unprecedented opportunity to investigate decomposition methods, which separate a system into a number of smaller subsystems that can be designed in multiple physical locations and coordinate the design of the subsystems to collaboratively achieve the original system design. This paper studies a network target coordination model for optimizing subsystems that are distributed as multiple agents in a network. To solve these coupled subsystems concurrently, we consider the “consensus optimization” approach by incorporating subgradient algorithms so that the master problem or auxiliary design variables required by most distributed coordination methods are not needed. The method allows each agent to conduct its optimization by locally solving for coupling variables with the information obtained from other agents in the network in an iteratively improving process. The convergence results of a geometric programming problem that satisfies the convexity assumption is provided. Moreover, two non-convex examples are tested to investigate the convergence characteristics of the proposed methods."
303,"Intricate and complex dependencies between multiple disciplines require iterative intensive optimization processes. To this end, multidisciplinary design optimization (MDO) has been established as a convincing concurrent technique to manage inherited complexities."
304,"Modifying the design of an existing system to meet the needs of a new task is a common activity in mechatronic system development. Often engineers seek to meet requirements for the new task via control design changes alone, but in many cases new requirements are impossible to meet using control design only; physical system design modifications must be considered. Plant-Limited Co-Design (PLCD) is a design methodology for meeting new requirements at minimum cost through limited physical system (plant) design changes in concert with control system redesign. The most influential plant changes are identified to narrow the set of candidate plant changes. PLCD provides quantitative evidence to support strategic plant design modification decisions, including tradeoff analyses of redesign cost and requirement violation. In this article the design of a counterbalanced robotic manipulator is used to illustrate successful PLCD application. A baseline system design is obtained that exploits synergy between manipulator passive dynamics and control to minimize energy consumption for a specific pick-and-place task. The baseline design cannot meet requirements for a second pick-and-place task through control design changes alone. A limited set of plant design changes is identified using sensitivity analysis, and the PLCD result meets the new requirements at a cost significantly less than complete system redesign."
305,"This paper presents an optimum design method for mechanical structures considering harmonic loads using a level set-based topology optimization method and the Finite Element Method (FEM). First, we briefly discuss the level set-based topology optimization method. Second, a topology optimization problem is formulated for a dynamic elastic design problem using level set boundary expressions. The objective functional is set to minimize the displacement at specific boundaries. Based on this formulation, the topological sensitivities of the objective functional are derived. Next, a topology optimization algorithm is proposed that uses the FEM to solve the equilibrium and adjoint equations, and when updating the level set function. Finally, several numerical examples are provided to confirm the validity and utility of the proposed method."
306,"In the discrete topology optimization, material state is either solid or void and there is no topology uncertainty problem caused by intermediate material state. In this paper, the improved quadrilateral discretization model is introduced for the discrete topology optimization of structures. The design domain is discretized into quadrilateral design cells and each quadrilateral design cell is further subdivided into 16 triangular analysis cells. All kinds of dangling quadrilateral design cells and sharp-corner triangular analysis cells are removed in the improved quadrilateral discretization model to promote the material utilization. To make the designed structures safe, the local stress constraint is directly imposed on each triangular analysis cell. To circumvent the geometrical bias against the vertical design cells, the binary bit-array genetic algorithm is used to search for the optimal topology. The effectiveness of the proposed improved quadrilateral discretization model and its related discrete topology optimization method is verified by two topology optimization examples of structures."
307,"Level set topology optimization defines the solution using the level set function values stored at the nodes of a regular finite element grid. These values represent a signed distance function which indicates the distance from each node to the structural boundaries. During optimization, nodal sensitivities are used to update the level set function values, moving the boundaries to create a more optimal structure. This paper presents two applications of the 3D level set topology optimization procedure aiming to minimize structural compliance subject to a volume constraint. The first application is the internal structure of a light subsonic aircraft wing. The results suggest that an alternative arrangement of ribs and sparse may be a more optimal solution for wing structures. The second application is the internal trabecular bone structure of an os-calcis. Comparison of the modeled optimal structure and the real internal structure suggest the internal bone structure is mechanically optimal."
308,"This paper introduces a platform that combines shape grammars with conventional simulation and analysis methods. The premise of this combination is to create an approach to synthesizing optimal shapes considering criteria requiring heat transfer and stress analysis for their evaluation. The necessary mechanisms and issues for integrating shape grammars with standard simulation systems are described. The benefits, challenges and future outlook of this approach with regards to traditional design synthesis systems are explored. Further, possible future research projects to extend the work are presented."
309,"The meta-material design of the shear layer of a non-pneumatic wheel was completed using topology optimization. In order to reduce the hysteretic rolling loss, an elastic material is used and the shear layer microstructure is defined to achieve high compliance comparable to that offered by the elastomeric materials. To simulate the meta-material properties of the shear layer, the volume averaging analysis, instead of more popular homogenization methods, is used as the relative size of the shear layer places realistic manufacturing constraints on the size of unit cells used to generate the meta-material. In this design scenario the properties predicted by the homogenization methods are not accurate since the homogenization scaling assumptions are violated. A number of optimal designs are shown to have meta-material properties similar to those of the linear elastic properties of elastomers, making them good meta-material candidates for the shear layer of the non-pneumatic wheel."
310,"The newly developed element exchange method (EEM) for topology optimization is applied to the problem of blank shape optimization for the sheet-forming process. EEM uses a series of stochastic operations guided by the structural response of the model to switch solid and void elements in a given domain to minimize the objective function while maintaining the specified volume fraction. In application of EEM to blank optimization, a sheet forming simulation model is developed using Abaqus/Explicit. With the goal of minimizing the variability in wall thickness of the formed component, a subset of solid (i.e., high density) elements with the highest increase in thickness is exchanged with a consistent subset of void (i.e., low density) elements having the highest decrease in thickness so that the volume fraction remains constant. The EEM operations coupled with finite element simulations are repeated until the optimum blank geometry (i.e., boundary and initial thickness) is found. The developed numerical framework is applied to blank optimization of a benchmark problem. The results show that EEM is successful in generating the optimum blank geometry efficiently and accurately."
